threshold,precision,recall,f1,accuracy,total_images,true_positive,false_positive,false_negative,misclassification,true_negative
0.0,0.7916666666666666,0.75,0.7416666666666666,0.75,8,5,1,0,1,1
0.05,0.7916666666666666,0.75,0.7416666666666666,0.75,8,5,1,0,1,1
0.1,0.7916666666666666,0.75,0.7416666666666666,0.75,8,5,1,0,1,1
0.15,0.7916666666666666,0.75,0.7416666666666666,0.75,8,5,1,0,1,1
0.2,0.7916666666666666,0.75,0.7416666666666666,0.75,8,5,1,0,1,1
0.25,0.7916666666666666,0.75,0.7416666666666666,0.75,8,5,1,0,1,1
0.3,0.7916666666666666,0.75,0.7416666666666666,0.75,8,5,1,0,1,1
0.35,0.7916666666666666,0.75,0.7416666666666666,0.75,8,5,1,0,1,1
0.4,0.7916666666666666,0.75,0.7416666666666666,0.75,8,5,1,0,1,1
0.45,0.6666666666666666,0.625,0.6166666666666667,0.625,8,4,1,1,1,1
0.5,0.6666666666666666,0.625,0.6166666666666667,0.625,8,4,1,1,1,1
0.55,0.49999999999999994,0.5,0.4666666666666667,0.5,8,3,1,2,1,1
0.6,0.49999999999999994,0.5,0.4666666666666667,0.5,8,3,1,2,1,1
0.65,0.5625,0.5,0.49999999999999994,0.5,8,3,1,3,0,1
0.7,0.5625,0.5,0.49999999999999994,0.5,8,3,1,3,0,1
0.75,0.3,0.375,0.3214285714285714,0.375,8,2,1,4,0,1
0.8,0.3333333333333333,0.5,0.375,0.5,8,2,0,4,0,2
0.85,0.3333333333333333,0.5,0.375,0.5,8,2,0,4,0,2
0.9,0.3214285714285714,0.375,0.2777777777777778,0.375,8,1,0,5,0,2
0.95,0.0625,0.25,0.1,0.25,8,0,0,6,0,2
1.0,0.0625,0.25,0.1,0.25,8,0,0,6,0,2
